,20s,30s,40s,50s,over,married,single,divorced,primary,secondary,tertiary,unknown,housing,loan,y
666,,X,,,,X,,,,,X,,,,
667,,,,X,,X,,,X,,,,,X,
668,,,,X,,,,X,,X,,,,,
669,,,,X,,X,,,,X,,,,X,
670,,,X,,,X,,,,X,,,,,
671,,,X,,,X,,,,X,,,X,,
672,,X,,,,X,,,,,,X,X,,
673,,X,,,,X,,,,,X,,X,,
674,,,X,,,,,X,,X,,,,,
675,,X,,,,X,,,,X,,,X,,
676,,,,X,,,X,,,,X,,X,,
677,,,,X,,X,,,,X,,,,X,
678,,,X,,,,X,,,X,,,,,
679,,,X,,,X,,,X,,,,,,
680,X,,,,,,X,,,,,X,,,
681,,X,,,,X,,,,X,,,,X,
682,,X,,,,X,,,,X,,,X,,
683,,X,,,,,X,,,,X,,X,,
684,X,,,,,,X,,,X,,,,,X
685,,,X,,,X,,,,X,,,X,,
686,,,X,,,X,,,,,X,,X,,
687,,X,,,,X,,,X,,,,X,,
688,,,,,X,X,,,X,,,,,,
689,,X,,,,,X,,,,X,,X,X,
690,,,,X,,,X,,,X,,,X,,
691,X,,,,,,X,,,,X,,,X,
692,,X,,,,,X,,X,,,,X,,
693,,,,X,,X,,,,,,X,,,
694,,,X,,,X,,,,,X,,,,
695,,,,X,,X,,,,X,,,,X,
696,,,X,,,X,,,,,X,,X,,
697,,X,,,,X,,,,X,,,X,,
698,,X,,,,,X,,,X,,,,X,
699,,X,,,,X,,,,,X,,,,
700,X,,,,,X,,,,X,,,X,,
701,,,X,,,,X,,,,X,,X,,
702,,X,,,,,,X,,,X,,,,X
703,,,X,,,X,,,,X,,,,,
704,,,,X,,X,,,,,,X,,,X
705,,X,,,,,,X,,,X,,X,,X
706,,X,,,,,X,,,,X,,,,
707,,,,X,,X,,,X,,,,,,
708,,,X,,,X,,,,X,,,X,,
709,,,X,,,X,,,X,,,,,,
710,,,X,,,X,,,X,,,,,,
711,,X,,,,,,X,,X,,,,,
712,X,,,,,,X,,,,X,,,,
713,X,,,,,,X,,,X,,,,,
714,,,,X,,,X,,,,X,,,,
715,,X,,,,,X,,,X,,,,,
716,,,X,,,X,,,,X,,,,,
717,,,X,,,X,,,,,X,,,,
718,,,X,,,X,,,,X,,,X,,
719,,X,,,,X,,,,X,,,X,X,
720,,,X,,,X,,,,,X,,,,
721,,X,,,,,X,,,,X,,X,,
722,,X,,,,X,,,,,X,,,,
723,,X,,,,X,,,,X,,,X,X,
724,X,,,,,,X,,,X,,,,,
725,,X,,,,X,,,,,X,,X,,
726,,X,,,,,X,,,,X,,X,,
727,X,,,,,,X,,,,,X,,,
728,,,,X,,X,,,,X,,,X,X,
729,,,X,,,,X,,,,X,,X,,
730,,X,,,,,X,,,X,,,X,,
731,,,X,,,X,,,X,,,,,X,
732,,,,X,,X,,,,,X,,,X,X
733,,X,,,,X,,,,X,,,X,,
734,X,,,,,,X,,,X,,,X,,
735,,X,,,,,X,,,X,,,,,
736,,,,X,,,,X,,X,,,,,
737,,X,,,,X,,,,X,,,,,X
738,,X,,,,,X,,,X,,,X,,
739,,,X,,,X,,,,X,,,,,
740,,,,X,,X,,,,,X,,,,
741,X,,,,,,X,,,X,,,,,X
742,,,X,,,X,,,,X,,,X,,
743,,,,X,,X,,,X,,,,,,X
744,,X,,,,X,,,,,X,,X,X,
745,,,,X,,X,,,,X,,,,X,
746,,,X,,,,X,,,X,,,X,X,
747,,,,,X,X,,,,X,,,X,,
748,,X,,,,X,,,X,,,,,X,
749,,,X,,,,,X,X,,,,X,,
750,,,,X,,,,X,X,,,,,,
751,,,X,,,X,,,,X,,,X,,
752,,X,,,,X,,,X,,,,X,,
753,,,,X,,X,,,,X,,,,,
754,,X,,,,X,,,,X,,,X,,
755,,X,,,,,X,,,X,,,X,,
756,,,X,,,X,,,,,X,,X,X,X
757,,,,X,,X,,,,X,,,X,,
758,,,X,,,X,,,X,,,,X,,
759,,,X,,,X,,,,,X,,,,
760,,,,X,,X,,,,X,,,,,
761,X,,,,,,X,,X,,,,X,,
762,,X,,,,,X,,,,X,,X,,
763,,X,,,,,X,,,X,,,X,,
764,X,,,,,X,,,,X,,,X,,
765,,X,,,,,,X,,X,,,,,
766,,,,X,,X,,,X,,,,X,,
767,,,X,,,,X,,,X,,,X,,
768,,,,X,,X,,,X,,,,X,,
769,,,,X,,X,,,,,X,,X,,
770,X,,,,,,X,,,X,,,X,X,
771,,,,X,,X,,,,X,,,X,,
772,X,,,,,,X,,,,X,,,,
773,,X,,,,X,,,,X,,,X,,
774,X,,,,,,X,,X,,,,X,X,
775,,X,,,,,,X,,,X,,X,,
776,X,,,,,,X,,,X,,,,,
777,,X,,,,,X,,,X,,,X,,
778,,X,,,,X,,,X,,,,X,,
779,,,,X,,X,,,X,,,,,,
780,,X,,,,X,,,,X,,,X,,
781,,,X,,,X,,,,X,,,X,,
782,,X,,,,X,,,,,X,,X,,
783,,,,X,,X,,,X,,,,X,,
784,X,,,,,,X,,,X,,,X,,
785,X,,,,,X,,,,,X,,X,,
786,,,,X,,,,X,,,X,,,,
787,,,,X,,X,,,X,,,,X,,
788,,,X,,,X,,,,X,,,X,,
789,,X,,,,,,X,X,,,,X,,
790,,X,,,,,X,,,,X,,X,,
791,,,X,,,X,,,,,X,,X,,
792,X,,,,,,X,,,X,,,,,
793,,,X,,,,,X,,,X,,,,
794,X,,,,,,X,,,X,,,X,,X
795,,X,,,,,X,,,,X,,X,,
796,,X,,,,,,X,,X,,,,,
797,,,,X,,X,,,,X,,,,,
798,,X,,,,,X,,,,,X,,,
799,,,,X,,,,X,,,,X,X,,
800,,,,X,,X,,,,,X,,,,
801,,X,,,,,X,,,X,,,X,,
802,,,X,,,X,,,,X,,,X,,
803,,,,X,,,X,,,X,,,,,
804,,,X,,,X,,,,,X,,X,,
805,,,X,,,X,,,,X,,,X,X,
806,,,,X,,,,X,,,,X,X,,
807,,,X,,,X,,,,X,,,X,X,
808,,X,,,,,X,,,X,,,X,,
809,,X,,,,X,,,,,X,,X,,X
810,,,X,,,X,,,,X,,,X,,
811,,,X,,,,,X,,X,,,,X,
812,,,,X,,,X,,,,X,,X,,
813,,X,,,,X,,,,X,,,X,,
814,,,X,,,X,,,,X,,,X,,
815,,X,,,,X,,,,X,,,,,
816,,,X,,,X,,,,X,,,X,,
817,,X,,,,,X,,,X,,,,,
818,X,,,,,,X,,X,,,,,,
819,X,,,,,X,,,,X,,,X,,
820,,,,X,,X,,,,X,,,,,
821,,X,,,,,X,,,,X,,X,,
822,,,X,,,X,,,,,X,,,,
823,,,X,,,X,,,,,X,,X,,X
824,,X,,,,X,,,,,X,,,,
825,,X,,,,,X,,,,X,,,,
826,,,X,,,X,,,,X,,,X,,
827,,X,,,,,X,,X,,,,,X,
828,,,X,,,X,,,X,,,,X,,
829,,X,,,,,X,,,,X,,X,,
830,,,X,,,,X,,,,X,,,,
831,,,X,,,X,,,,X,,,,,X
832,,,,X,,X,,,,X,,,,,
833,,X,,,,X,,,,X,,,X,,
834,,,,X,,X,,,,X,,,,,
835,X,,,,,,X,,,X,,,,,
836,,,,X,,X,,,X,,,,,,
837,,X,,,,,X,,,X,,,X,,X
838,,X,,,,,X,,,,X,,,,
839,,X,,,,X,,,,,X,,X,,
840,X,,,,,,X,,,X,,,X,,
841,,,X,,,X,,,,X,,,,,
842,,,X,,,,,X,,X,,,X,,
843,,,,X,,,X,,,X,,,X,X,
844,,,X,,,,X,,,X,,,X,,
845,,,X,,,X,,,,X,,,X,,
846,,X,,,,,X,,,X,,,X,,
847,,,,X,,X,,,X,,,,X,,
848,,,X,,,X,,,,X,,,X,,
849,,,,X,,,,X,X,,,,,,X
850,,X,,,,X,,,,,X,,,,
851,,,X,,,X,,,,X,,,,,
852,,X,,,,X,,,,X,,,,,
853,,,X,,,,,X,,,X,,,X,
854,,,X,,,X,,,,X,,,X,,
855,,,X,,,,,X,,,X,,,,X
856,,,X,,,X,,,,X,,,X,X,
857,,X,,,,X,,,,X,,,,,
858,,X,,,,,X,,,,X,,X,X,
859,,,,X,,,,X,,,X,,X,X,
860,,,,X,,X,,,X,,,,,,
861,,,X,,,X,,,,,X,,,,
862,,,X,,,,X,,,X,,,X,,X
863,,,X,,,X,,,X,,,,X,,
864,,,X,,,X,,,X,,,,X,,
865,,X,,,,,X,,,X,,,,X,
866,,,,X,,X,,,,X,,,,,
867,,X,,,,,,X,X,,,,X,,
868,,X,,,,X,,,,X,,,X,,
869,,,,X,,X,,,,X,,,X,X,
870,,,,X,,X,,,,X,,,,X,
871,,X,,,,,X,,X,,,,,,X
872,,X,,,,,X,,,X,,,X,,
873,X,,,,,,X,,,,X,,,,
874,,X,,,,,X,,,,X,,X,,
875,,X,,,,X,,,,X,,,,,
876,,X,,,,X,,,,,X,,,,
877,,X,,,,,X,,,,X,,,,
878,,X,,,,,X,,,X,,,,X,
879,X,,,,,,X,,,,X,,X,X,
880,X,,,,,,X,,,X,,,,,X
881,,X,,,,,X,,,X,,,X,,
882,,,,X,,,,X,X,,,,X,,
883,,,X,,,X,,,X,,,,X,,
884,,,X,,,X,,,X,,,,,,
885,,,X,,,X,,,,X,,,,X,
886,,,,,X,X,,,X,,,,X,,X
887,,,X,,,X,,,,X,,,X,,
888,,,X,,,X,,,X,,,,X,,
889,,X,,,,X,,,,,X,,X,X,
890,,,X,,,X,,,X,,,,,X,
891,X,,,,,,X,,,,X,,,X,
892,X,,,,,,X,,,,X,,,,X
893,,,X,,,,X,,,X,,,X,,
894,,X,,,,X,,,,,X,,X,,
895,,X,,,,X,,,,X,,,X,,
896,,X,,,,,X,,,X,,,,,
897,,X,,,,X,,,,X,,,X,X,
898,,X,,,,X,,,X,,,,X,,
899,,,,X,,,,X,,,,X,X,,
900,,X,,,,,X,,,X,,,,,
901,,X,,,,,X,,,,X,,X,,
902,,,,X,,,X,,,X,,,,X,
903,,X,,,,X,,,,,X,,X,,
904,,,X,,,X,,,,,X,,,,
905,X,,,,,,X,,,X,,,,,X
906,,X,,,,X,,,X,,,,X,,
907,,,X,,,X,,,,,X,,,,
908,,X,,,,,X,,,X,,,,,
909,,X,,,,X,,,,X,,,X,X,
910,,,X,,,X,,,,X,,,,X,
911,,,,X,,X,,,X,,,,,,
912,,,X,,,,X,,,,X,,X,,
913,,,X,,,X,,,,,X,,,,
914,,X,,,,,,X,,X,,,,,
915,,X,,,,X,,,,X,,,X,,
916,,X,,,,X,,,,X,,,,,
917,,X,,,,,X,,,X,,,,,
918,X,,,,,X,,,,X,,,X,,
919,X,,,,,X,,,,X,,,X,,
920,,X,,,,,X,,,,X,,,,
921,,X,,,,X,,,,,X,,X,,
922,,,,,X,X,,,,X,,,,,
923,,X,,,,X,,,,X,,,X,,
924,,,X,,,X,,,X,,,,,,
925,,X,,,,X,,,X,,,,X,,
926,,X,,,,X,,,X,,,,X,,
927,,X,,,,,,X,,X,,,X,,
928,,,,X,,,,X,,,X,,X,X,
929,,,,X,,,,X,,X,,,X,,
930,,,X,,,X,,,X,,,,X,,
931,,,X,,,X,,,,X,,,X,,
932,,X,,,,,,X,,,X,,,X,
933,,X,,,,X,,,,X,,,X,,
934,,X,,,,X,,,,X,,,X,,
935,,,X,,,X,,,X,,,,,,
936,,,,X,,,,X,,,X,,,X,
937,,X,,,,X,,,,X,,,X,,
938,,X,,,,X,,,,X,,,X,,
939,,X,,,,X,,,,,X,,,,
940,,X,,,,,,X,,,,X,,,X
941,,X,,,,X,,,,,X,,X,,X
942,,X,,,,X,,,,,X,,X,,
943,,,X,,,X,,,,X,,,,,
944,,,X,,,X,,,,X,,,,,X
945,,,X,,,X,,,,X,,,,,X
946,,,,X,,X,,,,,X,,,,
947,,,X,,,,X,,,X,,,X,,
948,,,X,,,,X,,,,,X,X,,
949,,X,,,,,,X,,X,,,,,
950,,,X,,,,,X,,X,,,,,
951,,,,X,,X,,,,,X,,,X,
952,,,,X,,X,,,,X,,,,,
953,,X,,,,,X,,,,X,,,,
954,,,,X,,,,X,,,,X,X,,
955,,X,,,,,X,,,,X,,X,,
956,X,,,,,,X,,,X,,,,,
957,,,,X,,,,X,,,,X,X,,
958,,X,,,,,X,,,X,,,,,
959,,X,,,,,X,,,,X,,X,,
960,,,,X,,X,,,,X,,,X,X,
961,,,X,,,X,,,,X,,,X,,
962,,,,X,,X,,,,X,,,,X,
963,,X,,,,,X,,,X,,,X,,
964,,,,X,,,,X,X,,,,,,
965,,X,,,,,X,,,,X,,,,X
966,,,X,,,X,,,,X,,,,,
967,,X,,,,X,,,,X,,,X,X,
968,,X,,,,,X,,,,X,,,,
969,,,,X,,X,,,X,,,,,,
970,,,,X,,X,,,X,,,,X,,X
971,,,X,,,X,,,,X,,,X,,
972,X,,,,,,X,,,X,,,X,,
973,,X,,,,,X,,,X,,,X,,
974,,,X,,,X,,,X,,,,X,,
975,,X,,,,,X,,,X,,,,,X
976,,X,,,,,,X,,X,,,,,
977,,,X,,,X,,,,,X,,,,
978,,X,,,,,,X,,,X,,,,
979,,,,X,,,,X,X,,,,,,
980,,,X,,,,,X,,,X,,X,,X
981,X,,,,,,X,,,X,,,X,,
982,,,,X,,X,,,,X,,,X,,
983,,X,,,,,,X,,X,,,,,
984,,,,X,,X,,,,,X,,,,X
985,,,,X,,,,X,,X,,,,X,
986,,,,X,,,,X,,,X,,X,,
987,,X,,,,,X,,,X,,,,X,
988,,,X,,,,X,,,,X,,,,
989,,,,X,,,,X,X,,,,,,
990,,,X,,,X,,,,,X,,X,,
991,,X,,,,X,,,,,X,,X,,X
992,,X,,,,X,,,X,,,,X,,
993,,X,,,,X,,,,X,,,X,,
994,,,,X,,X,,,X,,,,,,
995,,X,,,,X,,,,X,,,X,,
996,,,,X,,X,,,,X,,,,,
997,,X,,,,,X,,,,X,,X,X,
998,,,X,,,X,,,,X,,,X,,
999,X,,,,,,X,,,X,,,,,
1000,,X,,,,X,,,,X,,,X,X,
1001,,X,,,,,X,,,,X,,X,,
1002,,X,,,,,X,,,X,,,X,,
1003,,X,,,,X,,,,,X,,X,,
1004,X,,,,,X,,,,X,,,X,X,
1005,,,X,,,X,,,,,X,,X,,
1006,,,X,,,X,,,,,X,,X,,
1007,,,X,,,,X,,,X,,,X,,X
1008,,X,,,,X,,,,,X,,X,,
1009,,,,X,,X,,,,,X,,,,
1010,X,,,,,,X,,,X,,,,,
1011,,,X,,,X,,,X,,,,X,,
1012,,,X,,,X,,,,X,,,X,,
1013,,X,,,,X,,,,,X,,,,
1014,,X,,,,X,,,,X,,,X,,
1015,,,X,,,X,,,,X,,,X,,
1016,,X,,,,X,,,,X,,,X,,
1017,,,X,,,X,,,,X,,,X,,X
1018,,,,X,,X,,,,X,,,,,
1019,,,,X,,X,,,,X,,,X,,X
1020,,,X,,,X,,,,X,,,X,,X
1021,,,X,,,X,,,,X,,,X,X,X
1022,,X,,,,X,,,,X,,,X,,
1023,,X,,,,X,,,,,X,,X,,
1024,,X,,,,X,,,,X,,,X,,
1025,,,,X,,X,,,,X,,,,,X
1026,,,X,,,X,,,,X,,,X,,
1027,,,X,,,,X,,,X,,,,,
1028,,X,,,,X,,,,X,,,X,X,
1029,,X,,,,X,,,,X,,,X,,
1030,,X,,,,X,,,,,X,,X,,
1031,,,X,,,,X,,X,,,,,,
1032,,,X,,,,X,,X,,,,,,
1033,X,,,,,,X,,,X,,,X,,
1034,,X,,,,X,,,,,,X,,,
1035,,X,,,,X,,,,X,,,X,,
1036,,,,X,,X,,,,X,,,X,,
1037,,,X,,,X,,,,,X,,X,,
1038,,,X,,,X,,,,,X,,X,X,
1039,,,X,,,,X,,,X,,,,,
1040,,,,X,,,,X,,X,,,X,,X
1041,,X,,,,,,X,,X,,,X,X,
1042,,X,,,,,X,,,X,,,X,,
1043,,,X,,,X,,,,X,,,X,,
1044,,,X,,,X,,,,,X,,,,
1045,,,,X,,X,,,,,X,,,,
1046,,X,,,,X,,,X,,,,X,,
1047,X,,,,,X,,,,X,,,X,,
1048,,X,,,,X,,,,X,,,,,X
1049,X,,,,,X,,,,X,,,X,,
1050,,X,,,,X,,,,X,,,,,
1051,,X,,,,X,,,,X,,,X,,
1052,,X,,,,X,,,,X,,,X,,
1053,,,X,,,,,X,,X,,,X,,
1054,,,X,,,,,X,,X,,,X,,
1055,,X,,,,,X,,,,X,,,,
1056,,,,,X,X,,,,X,,,,,X
1057,X,,,,,,X,,,,X,,X,,
1058,,X,,,,X,,,,,X,,,,
1059,,,,X,,X,,,X,,,,,,
1060,,,X,,,X,,,,,X,,,,X
1061,,,X,,,X,,,,X,,,,,
1062,,,,X,,X,,,,X,,,X,X,
1063,,X,,,,X,,,X,,,,X,,
1064,,,,X,,,,X,,X,,,X,,
1065,,X,,,,X,,,,,X,,X,,
1066,,X,,,,X,,,,X,,,,,
1067,,,X,,,X,,,,X,,,X,,
1068,,X,,,,,X,,,X,,,X,X,
1069,,,X,,,,X,,,,,X,X,X,
1070,,X,,,,X,,,,X,,,X,,X
1071,,X,,,,X,,,,X,,,X,,
1072,,X,,,,X,,,,X,,,X,,
1073,,X,,,,,X,,,,X,,X,,
1074,X,,,,,,,X,,,X,,X,X,
1075,X,,,,,X,,,,,X,,X,X,
1076,,,,X,,X,,,,X,,,,,X
1077,,X,,,,X,,,,,X,,,,X
1078,,X,,,,,X,,,,X,,,,
1079,,,,X,,,,X,,X,,,,X,
1080,,,X,,,X,,,,X,,,X,,
1081,,,X,,,X,,,,X,,,,,
1082,,,,X,,X,,,X,,,,,,
1083,,,,,X,X,,,X,,,,,,
1084,X,,,,,,,X,,X,,,X,,
1085,,X,,,,X,,,,X,,,X,,X
1086,,,,X,,X,,,,X,,,,X,
1087,,,X,,,X,,,,,X,,,,
1088,,X,,,,,X,,,,X,,,,
1089,,,,X,,X,,,X,,,,,X,
1090,,X,,,,,X,,X,,,,X,,
1091,,,,X,,X,,,X,,,,,,
1092,,,X,,,X,,,,X,,,X,,
1093,,X,,,,,X,,,,X,,X,,
1094,,X,,,,,X,,,,X,,,,
1095,,X,,,,X,,,,X,,,,,
1096,,,X,,,X,,,,,X,,X,,
1097,,,X,,,,,X,,,X,,,,
1098,,X,,,,,X,,,X,,,,,
1099,,,,X,,X,,,X,,,,X,,
1100,,,,X,,X,,,,,X,,,,
1101,X,,,,,X,,,,,X,,X,,
1102,,,X,,,X,,,,,X,,X,,
1103,,,,X,,X,,,,,,X,,,
1104,,X,,,,,X,,X,,,,X,,
1105,,,X,,,X,,,,,X,,,,
1106,,X,,,,X,,,,X,,,,X,
1107,,X,,,,,X,,,X,,,X,,
1108,,,X,,,,X,,,,X,,,,
1109,,,,X,,X,,,,X,,,,,X
1110,,,,X,,,,X,X,,,,,X,
1111,,X,,,,X,,,,X,,,,,X
1112,,X,,,,X,,,,X,,,X,,
1113,,,,X,,,X,,,X,,,,,
1114,,X,,,,,,X,,X,,,,X,
1115,,,X,,,X,,,,X,,,X,,
1116,X,,,,,X,,,,,X,,X,,
1117,,,X,,,,X,,,,X,,X,,
1118,,,,,X,X,,,,X,,,,,
1119,X,,,,,,X,,,,X,,X,,
1120,,,X,,,X,,,,X,,,,X,
1121,,,,X,,X,,,,,X,,,,
1122,,X,,,,X,,,,,X,,,,
1123,,X,,,,X,,,,,X,,,,
1124,,X,,,,X,,,,,,X,,,X
1125,,X,,,,,,X,,X,,,X,,
1126,,,,,X,X,,,,X,,,,,
1127,,X,,,,,X,,,,,X,,,
1128,,,X,,,,,X,,X,,,,,
1129,,X,,,,,X,,,,X,,X,,
1130,X,,,,,X,,,,,X,,,,
1131,,X,,,,,X,,,X,,,X,,
1132,,,X,,,,,X,,,X,,X,X,
1133,X,,,,,,X,,,X,,,X,X,
1134,,X,,,,X,,,X,,,,,,
1135,,,,X,,X,,,,,X,,X,X,X
1136,,X,,,,,X,,,X,,,X,,
1137,,,X,,,X,,,,X,,,X,,
1138,,X,,,,,,X,,X,,,,,
1139,,,,X,,,,X,X,,,,X,,
1140,,X,,,,,X,,,,X,,X,,
1141,,,X,,,X,,,,X,,,X,,
1142,,,,,X,,,X,,,X,,,,X
1143,,,,X,,X,,,X,,,,X,X,
1144,,,X,,,X,,,,,X,,X,,
1145,,,,X,,X,,,X,,,,X,,
1146,,X,,,,X,,,,,X,,,,
1147,,,X,,,X,,,,X,,,X,X,
1148,X,,,,,,X,,,,X,,,,
1149,,,,X,,X,,,,X,,,,,
1150,,X,,,,,,X,,X,,,X,,
1151,,,X,,,X,,,,X,,,,,X
1152,,,,X,,X,,,,X,,,,,
1153,,,X,,,,,X,,,X,,X,,
1154,,,X,,,X,,,,X,,,,X,
1155,,X,,,,,X,,,,X,,,,
1156,,X,,,,X,,,,X,,,X,X,
1157,,,,X,,X,,,,,,X,,,
1158,,X,,,,,X,,,,X,,,,
1159,,X,,,,,X,,,,X,,X,,
1160,,X,,,,,,X,,X,,,,,
1161,X,,,,,,X,,,,X,,,,
1162,,,,X,,X,,,,X,,,X,X,
1163,,X,,,,X,,,,X,,,X,,
1164,,,X,,,,X,,,,X,,,,
1165,,X,,,,X,,,,X,,,X,X,
1166,,X,,,,,X,,,,X,,,,X
1167,,X,,,,X,,,,X,,,X,,
1168,,X,,,,X,,,,,X,,X,,X
1169,,X,,,,X,,,,X,,,,,
1170,,,,X,,X,,,,,X,,,,
1171,,X,,,,,X,,,X,,,,,
1172,,,X,,,X,,,,X,,,X,,
1173,,X,,,,,X,,,X,,,X,,
1174,,X,,,,X,,,,,X,,X,,
1175,,,,,X,X,,,X,,,,,,
1176,,,,X,,X,,,,,X,,X,,
1177,X,,,,,,X,,,,X,,,,X
1178,X,,,,,,,X,,X,,,X,,
1179,,X,,,,X,,,,,X,,,,X
1180,,X,,,,X,,,,,X,,X,,X
1181,,X,,,,X,,,,X,,,,,X
1182,,X,,,,X,,,,,X,,X,,
1183,,X,,,,X,,,,X,,,X,,
1184,,X,,,,X,,,,X,,,,,
1185,,X,,,,X,,,,X,,,X,,
1186,,,,,X,X,,,,,X,,,,
1187,X,,,,,X,,,,X,,,X,,
1188,,X,,,,X,,,X,,,,,,
1189,,X,,,,,X,,,X,,,,,
1190,,,,X,,,,X,,,X,,,,X
1191,,X,,,,X,,,,X,,,X,,
1192,,X,,,,,X,,,X,,,,X,
1193,,X,,,,,X,,,X,,,X,,
1194,,X,,,,X,,,,X,,,X,,
1195,,,,X,,X,,,,,X,,,,
1196,,,,,X,X,,,X,,,,,,
1197,,,,,X,X,,,,,X,,,,
1198,,,,X,,,,X,,X,,,,,
1199,,X,,,,,X,,,,X,,X,,
1200,,,,X,,X,,,,X,,,X,,
1201,,,X,,,X,,,,X,,,,,
1202,,,X,,,,,X,,X,,,X,,
1203,,,X,,,X,,,X,,,,X,,
1204,,,X,,,X,,,,,X,,X,X,
1205,,X,,,,X,,,,,,X,,,
1206,,,,,X,X,,,,,X,,,,X
1207,,X,,,,X,,,X,,,,X,,
1208,X,,,,,X,,,,,X,,,X,
1209,,,,X,,,X,,,X,,,,X,
1210,,,,,X,,,X,,X,,,X,,
1211,,,,,X,,X,,,X,,,,,
1212,,X,,,,,X,,,,X,,,,X
1213,,,X,,,X,,,,X,,,X,,
1214,,,X,,,X,,,,X,,,,,
1215,X,,,,,,X,,,X,,,,,
1216,X,,,,,,X,,,,X,,,,
1217,,,X,,,X,,,X,,,,X,X,
1218,,,,X,,X,,,,,,X,,,
1219,,,X,,,X,,,X,,,,,,
1220,,X,,,,X,,,,,X,,,,
1221,,X,,,,X,,,,X,,,X,,
1222,X,,,,,,X,,,X,,,,X,
1223,,,X,,,,,X,,,X,,X,X,
1224,X,,,,,,X,,,X,,,X,,
1225,,,,X,,X,,,,X,,,X,,
1226,,X,,,,,,X,,X,,,X,X,
1227,,X,,,,,X,,,X,,,X,,
1228,,X,,,,X,,,,X,,,X,,
1229,X,,,,,,X,,X,,,,X,,
1230,,,,,X,,,X,,X,,,,,X
1231,,X,,,,,,X,,X,,,X,,
1232,,X,,,,,X,,,X,,,X,,
1233,,X,,,,X,,,,X,,,X,,
1234,,X,,,,X,,,,,X,,X,,
1235,,X,,,,X,,,,X,,,X,X,
1236,,X,,,,,X,,,X,,,,X,
1237,,X,,,,X,,,X,,,,X,,
1238,,X,,,,X,,,X,,,,X,X,
1239,X,,,,,,X,,,X,,,X,X,
1240,X,,,,,X,,,,X,,,X,,
1241,X,,,,,,X,,,,,X,,,
1242,,X,,,,X,,,X,,,,X,,
1243,,,,,X,X,,,X,,,,,,
1244,,X,,,,,X,,,,X,,X,X,
1245,,,X,,,,X,,,X,,,X,,
1246,,,X,,,X,,,,,X,,X,,
1247,,,,X,,X,,,,,X,,X,,
1248,,X,,,,X,,,,X,,,X,,
1249,,,,,X,X,,,X,,,,,,X
1250,,X,,,,,,X,,X,,,X,X,
1251,,,X,,,X,,,,X,,,X,,
1252,,X,,,,X,,,,X,,,,,
1253,,,,X,,X,,,,X,,,X,,
1254,,X,,,,,,X,X,,,,,,
1255,,X,,,,X,,,,X,,,X,X,
1256,,,,X,,,,X,,X,,,X,,
1257,,,,X,,X,,,X,,,,,X,
1258,,,X,,,X,,,,X,,,X,,
1259,,X,,,,,X,,,X,,,X,,
1260,,X,,,,,X,,,X,,,,X,
1261,,X,,,,X,,,X,,,,X,X,
1262,,,X,,,X,,,X,,,,X,X,
1263,,,X,,,X,,,,X,,,X,,
1264,,,,X,,X,,,X,,,,X,,
1265,,X,,,,X,,,,,X,,,,
1266,,,,X,,X,,,,,,X,,,X
1267,,X,,,,X,,,,X,,,X,,
1268,,X,,,,X,,,,X,,,,,
1269,X,,,,,,X,,,X,,,,,X
1270,,X,,,,X,,,,X,,,X,,
1271,,X,,,,X,,,,X,,,X,,
1272,,X,,,,,,X,,X,,,,,
1273,,X,,,,,,X,,X,,,X,,
1274,,,X,,,,,X,X,,,,X,X,
1275,,,X,,,X,,,,X,,,X,,
1276,,,X,,,,,X,,,X,,,,X
1277,,,X,,,,,X,,X,,,,,X
1278,,,,X,,X,,,,X,,,X,,
1279,,X,,,,X,,,,,X,,X,,
1280,,X,,,,,X,,,,X,,X,,
1281,,,X,,,X,,,X,,,,X,,
1282,,X,,,,X,,,X,,,,,,
1283,X,,,,,X,,,,X,,,,X,
1284,,,X,,,X,,,X,,,,X,,
1285,,,,X,,X,,,,X,,,X,,
1286,,X,,,,,X,,,,X,,X,,
1287,,X,,,,X,,,,,X,,X,,X
1288,,,X,,,X,,,,X,,,X,,
1289,,,X,,,X,,,X,,,,,,
1290,,X,,,,X,,,X,,,,X,,
1291,,,,X,,,,X,,X,,,X,X,
1292,,,X,,,X,,,,X,,,,,
1293,,,X,,,,,X,,,X,,,,
1294,,,X,,,X,,,,,,X,X,,
1295,X,,,,,,X,,,,X,,,,
1296,,,,X,,X,,,,X,,,,,
1297,,X,,,,,X,,,,X,,,,X
1298,X,,,,,,X,,,X,,,X,,
1299,,,X,,,X,,,,X,,,,,
1300,,,,X,,,,X,,X,,,,,X
1301,,X,,,,,X,,,,X,,X,,
1302,,,X,,,X,,,,X,,,X,,
1303,,,X,,,X,,,,,,X,,,X
1304,,X,,,,X,,,,,X,,,,
1305,,,X,,,X,,,X,,,,X,X,
1306,,,X,,,X,,,,X,,,,X,
1307,,,X,,,X,,,,X,,,,,
1308,,,X,,,X,,,,,X,,,,
1309,,X,,,,X,,,,X,,,X,,
1310,,X,,,,X,,,,,,X,,,
1311,,,,X,,X,,,,X,,,X,,
1312,,,,,X,X,,,,X,,,,,X
1313,,X,,,,,X,,,,X,,X,,
1314,,,X,,,X,,,X,,,,X,,
1315,,,X,,,X,,,,,X,,,,
1316,,X,,,,X,,,,,X,,X,,
1317,X,,,,,,X,,,X,,,X,,
1318,,X,,,,X,,,,X,,,,,
1319,,,X,,,X,,,,X,,,X,,X
